,brand,model,price,mileage,year,location,body_type,fuel,power,transmission,color,engine_size
1068,Audi,A1,53000.0,87000.0,2014.0,Ariana,Compacte,Essence,5.0,Manuelle,Noir,
1069,Mercedes Benz,Classe E,198000.0,114000.0,2016.0,Ariana,Berline,Essence,10.0,Automatique,Blanc,
1070,Mercedes Benz,Classe C,128000.0,133000.0,2016.0,Ariana,Autres,Essence,8.0,Automatique,Gris,
1071,Bmw,Serie 1 5P,83000.0,73000.0,2016.0,Ariana,Autres,Essence,7.0,Automatique,Bleu,
1072,Porsche,Cayenne,,69000.0,2019.0,Ariana,4 X 4,Essence,23.0,Automatique,Blanc,
1073,Porsche,Cayenne,295000.0,137000.0,2016.0,Ariana,4 X 4,Diesel,16.0,Automatique,Noir,
1074,Ford,Fusion,71000.0,77000.0,2017.0,Ariana,Berline,Essence,9.0,Manuelle,Blanc,
1075,Volkswagen,Passat,28000.0,186000.0,2007.0,Tunis,Berline,Essence,7.0,Manuelle,Gris,
1076,Volkswagen,Golf 7,,114000.0,2013.0,Sfax,Compacte,Essence,5.0,Manuelle,Noir,
1077,Toyota,Yaris,36000.0,90000.0,2018.0,Sfax,Citadine,Essence,4.0,Manuelle,Gris,
1078,Seat,Leon,60000.0,119600.0,2017.0,Ariana,Berline,Essence,6.0,Manuelle,Noir,
1079,Mg,Zs,73000.0,57000.0,2021.0,Tunis,4 X 4,Essence,7.0,Automatique,Bleu,
1080,Kia,Picanto,30500.0,205000.0,2019.0,Médenine,Compacte,Essence,4.0,Manuelle,Rouge,
1081,Audi,A4,58000.0,230000.0,2015.0,Kairouan,Berline,Essence,7.0,Manuelle,Blanc,
1082,Volkswagen,Golf 4,20500.0,400000.0,2001.0,Sousse,Berline,Diesel,6.0,Manuelle,Bleu,
1083,Bmw,Serie 3,,160000.0,2007.0,Ariana,Berline,Essence,7.0,Manuelle,Noir,
1084,Opel,Astra,37000.0,143564.0,2010.0,Ariana,Compacte,Essence,7.0,Automatique,Noir,
1085,Citroen,C Elysée,24000.0,122000.0,2015.0,Sousse,Citadine,Essence,5.0,Automatique,Blanc,
1086,Volkswagen,Golf 7,,52650.0,2020.0,Monastir,Autres,Essence,6.0,Automatique,Gris,
1087,Peugeot,208,29500.0,194000.0,2019.0,Mahdia,Citadine,Essence,5.0,Manuelle,Gris,
1088,Volkswagen,New Beetle,39500.0,150000.0,2012.0,Ben Arous,Coupé,Essence,6.0,Manuelle,Blanc,
1089,Volkswagen,Polo,21000.0,180000.0,2004.0,Sfax,Compacte,Essence,5.0,Manuelle,Gris,
1090,Land Rover,Range Rover Sport,,35000.0,2020.0,Tunis,4 X 4,Essence,28.0,Automatique,Blanc,
1091,Mercedes Benz,Cla,115000.0,65000.0,2017.0,Tunis,Berline,Essence,7.0,Automatique,Gris,
1092,Porsche,Cayenne,285000.0,80000.0,2016.0,Tunis,4 X 4,Essence,21.0,Automatique,Blanc,
1093,Bmw,Serie 4 Gran Coupe,128000.0,112000.0,2016.0,Tunis,Berline,Essence,7.0,Automatique,Bleu,
1094,Volkswagen,Golf 8,115000.0,3000.0,2021.0,Tunis,Citadine,Essence,5.0,Manuelle,Gris,
1095,Volkswagen,Golf 8,115000.0,16000.0,2021.0,Tunis,Citadine,Essence,6.0,Manuelle,Gris,
1096,Land Rover,Range Rover Sport,305000.0,93000.0,2016.0,Tunis,4 X 4,Essence,21.0,Automatique,Bleu,
1097,Land Rover,Range Rover Velar,475000.0,,2023.0,Tunis,4 X 4,Essence,15.0,Automatique,Bleu,
1098,Land Rover,Range Rover Evoque,,,2023.0,Tunis,4 X 4,Essence,12.0,Automatique,Gris,
1099,Seat,Leon,,133000.0,2014.0,Sousse,Citadine,Essence,5.0,Manuelle,Gris,
1100,Peugeot,308,23500.0,176000.0,2008.0,Ariana,Utilitaire,Essence,6.0,Manuelle,Beige,
1101,Bmw,Serie 4 Gran Coupe,128000.0,99000.0,2017.0,Ben Arous,Coupé,Essence,7.0,Automatique,Blanc,
1102,Volkswagen,Tiguan,42500.0,290000.0,2011.0,Ben Arous,Autres,Essence,7.0,Manuelle,Blanc,
1103,Kia,Sportage,56000.0,134000.0,2012.0,Ariana,4 X 4,Essence,11.0,Automatique,Gris,
1104,Kia,Sportage,105000.0,40000.0,2018.0,Ariana,4 X 4,Essence,8.0,Automatique,Noir,
1105,Mg,Zs,69000.0,82000.0,2020.0,Ariana,4 X 4,Essence,7.0,Automatique,Bleu,
1106,Volkswagen,Golf 7,88000.0,83000.0,2019.0,Sousse,Citadine,Essence,7.0,Automatique,Jaune,
1107,Suzuki,Dzire,33500.0,133000.0,2019.0,Nabeul,Berline,Essence,5.0,Manuelle,Marron,
1108,Nissan,Qashqai,89000.0,54000.0,2018.0,Tunis,4 X 4,Essence,6.0,Automatique,Noir,
1109,Volkswagen,Golf 7,63900.0,173000.0,2018.0,Tunis,Berline,Diesel,6.0,Manuelle,Gris,
1110,Honda,City,39000.0,146500.0,2017.0,Monastir,Berline,Essence,7.0,Manuelle,Gris,
1111,Suzuki,Sj Samurai,26000.0,,1984.0,Tunis,4 X 4,Essence,5.0,Manuelle,Gris,
1112,Byd,Tang,128600.0,12000.0,2022.0,Ben Arous,Autres,Essence,11.0,Automatique,Autre,
1113,Dongfeng,S50,,27100.0,2021.0,Sfax,Berline,Essence,7.0,Automatique,Marron,
1114,Bmw,Serie 1 5P,118000.0,100000.0,2020.0,Tunis,Compacte,Essence,7.0,Automatique,Blanc,
1115,Hyundai,Grand I10,34500.0,90000.0,2018.0,Kairouan,Citadine,Essence,5.0,Manuelle,Gris,
1116,Peugeot,508,35000.0,250000.0,2011.0,Sfax,Berline,Essence,7.0,Automatique,Noir,
1117,Kia,Sportage,92000.0,129000.0,2017.0,Ben Arous,4 X 4,Diesel,7.0,Automatique,Rouge,
1118,Audi,A5 Sportback,105000.0,130000.0,2017.0,Tunis,Berline,Essence,8.0,Automatique,Bleu,
1119,Nissan,Navara,,73000.0,2019.0,Tunis,Pick Up,Diesel,10.0,Manuelle,Noir,
1120,Bmw,Serie 1 5P,75000.0,150000.0,2016.0,Sfax,Citadine,Diesel,5.0,Manuelle,Blanc,
1121,Mercedes Benz,Classe C,72000.0,155000.0,2014.0,Ariana,Berline,Essence,9.0,Automatique,Blanc,
1122,Renault,Megane,50000.0,147570.0,2019.0,Nabeul,Utilitaire,Essence,7.0,Manuelle,Blanc,
1123,Fiat,Punto Easy,,162000.0,2017.0,Médenine,Compacte,Essence,4.0,Manuelle,Blanc,
1124,Bmw,Serie 5,88000.0,150000.0,2013.0,Ben Arous,Berline,Essence,10.0,Automatique,Noir,
1125,Citroen,C Elysée,26500.0,102900.0,2016.0,Ariana,Berline,Essence,5.0,Manuelle,Blanc,
1126,Peugeot,2008,48000.0,83000.0,2018.0,Kairouan,Autres,Essence,5.0,Manuelle,Gris,
1127,Citroen,C4,29500.0,185000.0,2012.0,Ariana,Citadine,Essence,6.0,Manuelle,Gris,
1128,Mazda,2 Sedan,54000.0,97000.0,2017.0,Ben Arous,Berline,Essence,6.0,Manuelle,Gris,
1129,Nissan,Micra,31000.0,97000.0,2017.0,Ariana,Autres,Essence,5.0,Manuelle,Noir,
1130,Renault,Clio,16000.0,308000.0,2001.0,Médenine,Berline,Essence,6.0,Manuelle,Gris,
1131,Peugeot,207,21500.0,255000.0,2006.0,Nabeul,Citadine,Essence,6.0,Manuelle,Noir,
1132,Dongfeng,Sx3,67000.0,17100.0,2022.0,Sfax,Autres,Essence,8.0,Manuelle,Blanc,
1133,Seat,Leon,39000.0,193500.0,2015.0,Ben Arous,Citadine,Essence,5.0,Manuelle,Blanc,
1134,Hyundai,Tucson,146000.0,16000.0,2021.0,Sfax,4 X 4,Essence,9.0,Automatique,Autre,
1135,Seat,Leon,51900.0,98000.0,2013.0,Sfax,Berline,Essence,6.0,Automatique,Blanc,
1136,Hyundai,Ix35,90000.0,31914.0,2014.0,Monastir,Autres,Diesel,11.0,Automatique,Blanc,
1137,Toyota,Land Cruiser,118000.0,287000.0,2011.0,Tunis,4 X 4,Diesel,9.0,Manuelle,Blanc,
1138,Citroen,C3,33000.0,130000.0,2017.0,Manouba,Citadine,Essence,5.0,Manuelle,Noir,
1139,Ds,3,33000.0,120000.0,2012.0,Sousse,Compacte,Essence,5.0,Manuelle,Rouge,
1140,Ford,Figo,21500.0,275000.0,2013.0,Sousse,Compacte,Essence,5.0,Manuelle,Blanc,
1141,Volkswagen,Caddy,32000.0,107800.0,2015.0,Ben Arous,Utilitaire,Diesel,5.0,Manuelle,Blanc,
1142,Mahindra,Kuv 100,37000.0,40000.0,2019.0,Tunis,Autres,Essence,5.0,Manuelle,Rouge,
1143,Volkswagen,Golf 6,44500.0,187000.0,2012.0,Kairouan,Coupé,Essence,6.0,Manuelle,Gris,
1144,Suzuki,Swift,49000.0,36900.0,2020.0,Tunis,Autres,Essence,5.0,Automatique,Autre,
1145,Mercedes Benz,Classe E,178000.0,91000.0,2016.0,Ariana,Berline,Diesel,10.0,Automatique,Noir,
1146,Mercedes Benz,Classe C,47000.0,158000.0,2010.0,Ariana,Berline,Essence,9.0,Automatique,Gris,
1147,Bmw,Serie 1 5P,,27000.0,2021.0,Ariana,Autres,Essence,7.0,Automatique,Blanc,
1148,Bmw,Serie 5,,230000.0,2013.0,Ariana,Berline,Diesel,10.0,Automatique,Noir,
1149,Audi,A5 Sportback,118000.0,99000.0,2018.0,Ariana,Autres,Essence,8.0,Automatique,Noir,
1150,Mercedes Benz,Classe E,138000.0,141000.0,2016.0,Ariana,Berline,Essence,10.0,Automatique,Noir,
1151,Toyota,Land Cruiser,55000.0,500000.0,2001.0,Ariana,4 X 4,Diesel,17.0,Manuelle,Blanc,
1152,Volkswagen,Passat,,40000.0,2020.0,Ariana,Berline,Essence,8.0,Automatique,Noir,
1153,Volkswagen,Golf 7,68000.0,130000.0,2016.0,Ariana,Autres,Essence,6.0,Manuelle,Blanc,
1154,Mercedes Benz,Classe E Coupe,75000.0,148000.0,2010.0,Ariana,Coupé,Diesel,14.0,Automatique,Noir,
1155,Toyota,Land Cruiser,105000.0,104000.0,2007.0,Ariana,4 X 4,Diesel,17.0,Manuelle,Blanc,
1156,Mercedes Benz,Classe A,168000.0,50000.0,2020.0,Ariana,Autres,Essence,8.0,Automatique,Blanc,
1157,Mercedes Benz,Classe E,165000.0,80000.0,2017.0,Sfax,Berline,Essence,9.0,Automatique,Noir,
1158,Renault,Autre,38000.0,96000.0,2011.0,Manouba,Autres,Essence,7.0,Manuelle,Noir,
1159,Volkswagen,Tiguan,36000.0,300000.0,2012.0,Ariana,4 X 4,Essence,8.0,Automatique,Gris,
1160,Mini,3 Portes,26000.0,173000.0,2009.0,Ben Arous,Compacte,Essence,5.0,Manuelle,Noir,
1161,Ford,Fiesta,28500.0,163000.0,2014.0,Ben Arous,Compacte,Essence,5.0,Manuelle,Gris,
1162,Renault,Clio,36000.0,123000.0,2016.0,Ben Arous,Compacte,Essence,5.0,Manuelle,Gris,
1163,Bmw,Serie 4 Gran Coupe,147000.0,59000.0,2019.0,Tunis,Coupé,Essence,7.0,Automatique,Noir,
1164,Bmw,Serie 4 Gran Coupe,153000.0,58000.0,2019.0,Sfax,Berline,Essence,7.0,Automatique,Noir,
1165,Peugeot,3008,92000.0,77000.0,2019.0,Sfax,Autres,Essence,7.0,Automatique,Gris,
1166,Seat,Leon,50500.0,120000.0,2018.0,Ben Arous,Coupé,Essence,6.0,Manuelle,Gris,
1167,Mercedes Benz,Cla,84000.0,125000.0,2013.0,Tunis,Berline,Essence,8.0,Automatique,Blanc,
1168,Mercedes Benz,Vito,105000.0,105000.0,2019.0,Nabeul,Autres,Diesel,7.0,Manuelle,Blanc,
1169,Seat,Leon,42500.0,131000.0,2015.0,Tunis,Berline,Essence,6.0,Manuelle,Blanc,
1170,Mahindra,Kuv 100,31000.0,46500.0,2019.0,Tunis,Compacte,Essence,5.0,Manuelle,Blanc,
1171,Ford,Focus,40000.0,112000.0,2016.0,Tunis,Compacte,Essence,6.0,Automatique,Rouge,
1172,Peugeot,208,,20000.0,2023.0,Sousse,Citadine,Essence,4.0,Manuelle,Gris,
1173,Seat,Ibiza,50500.0,55000.0,2020.0,Ariana,Citadine,Essence,4.0,Manuelle,Bleu,
1174,Bmw,X1,60000.0,210000.0,2012.0,Ariana,4 X 4,Essence,7.0,Automatique,Marron,
1175,Mercedes Benz,Classe E,185000.0,40000.0,2016.0,Tunis,Berline,Essence,10.0,Automatique,Noir,
1176,Bmw,Serie 4 Gran Coupe,122000.0,85000.0,2016.0,Tunis,Berline,Essence,7.0,Automatique,Blanc,
1177,Mercedes Benz,Classe A Berline,159000.0,35000.0,2020.0,Tunis,Berline,Essence,7.0,Automatique,Blanc,
1178,Mercedes Benz,Classe C,219000.0,24000.0,2022.0,Tunis,Berline,Hybride,10.0,Automatique,Blanc,
1179,Renault,Arkana,149000.0,,2022.0,Tunis,4 X 4,Hybride,7.0,Automatique,Noir,
1180,Audi,Q5,98000.0,160000.0,2014.0,Tunis,4 X 4,Diesel,8.0,Automatique,Noir,
1181,Mercedes Benz,Classe C,108000.0,160000.0,2016.0,Tunis,Compacte,Diesel,7.0,Automatique,Blanc,
1182,Bmw,Serie 5,72000.0,235000.0,2012.0,Tunis,Berline,Essence,10.0,Automatique,Blanc,
1183,Mercedes Benz,Classe C,158000.0,50000.0,2019.0,Tunis,Berline,Essence,8.0,Automatique,Noir,
1184,Ssangyong,Tivoli,62000.0,87000.0,2017.0,Ariana,4 X 4,Essence,8.0,Automatique,Blanc,
1185,Ford,Ranger,29000.0,360000.0,2009.0,Tunis,Pick Up,Diesel,10.0,Manuelle,Gris,
1186,Ford,Fiesta,23500.0,155000.0,2009.0,Sousse,Citadine,Essence,5.0,Manuelle,Noir,
1187,Porsche,Panamera,,38000.0,2010.0,Tunis,Berline,Essence,30.0,Automatique,Blanc,
1188,Nissan,Qashqai,62000.0,128000.0,2016.0,Ariana,Compacte,Essence,6.0,Automatique,Blanc,
1189,Ford,Ecosport,72000.0,77000.0,2020.0,Nabeul,4 X 4,Essence,7.0,Automatique,Noir,
1190,Volkswagen,Golf 6,40000.0,162000.0,2011.0,Sfax,Compacte,Essence,5.0,Manuelle,Noir,
1191,Volkswagen,Golf 8,115000.0,9000.0,2021.0,Tunis,Compacte,Essence,6.0,Manuelle,Blanc,
1192,Audi,Q3,88000.0,60000.0,2016.0,Tunis,Compacte,Essence,8.0,Automatique,Blanc,
1193,Nissan,Patrol,58000.0,211000.0,2006.0,Bizerte,4 X 4,Diesel,17.0,Manuelle,Gris,
1194,Kia,Sportage,146000.0,13000.0,2022.0,Tunis,Citadine,Essence,10.0,Automatique,Gris,
1195,Kia,Sportage,132000.0,,2023.0,Tunis,4 X 4,Essence,8.0,Manuelle,Gris,
1196,Chery,Tiggo 3,51000.0,42000.0,2019.0,Tunis,Citadine,Essence,6.0,Manuelle,Noir,
1197,Renault,Kangoo,22000.0,454778.0,2003.0,Ariana,Monospace,Essence,6.0,Manuelle,Gris,
1198,Kia,Picanto,31000.0,152000.0,2016.0,Sousse,Compacte,Essence,4.0,Manuelle,Marron,
1199,Volkswagen,Golf 7,74000.0,145000.0,2016.0,Ariana,Coupé,Essence,5.0,Manuelle,Blanc,
1200,Mercedes Benz,Classe A,80000.0,170000.0,2014.0,Ariana,Coupé,Essence,6.0,Automatique,Noir,
1201,Volkswagen,Golf 7,70000.0,55000.0,2018.0,Monastir,Compacte,Essence,6.0,Manuelle,Noir,
1202,Audi,A5 Sportback,119000.0,160000.0,2018.0,Tunis,Berline,Essence,8.0,Automatique,Gris,
1203,Mercedes Benz,Classe A,,75000.0,2019.0,Tunis,Citadine,Essence,7.0,Automatique,Noir,
1204,Volkswagen,Passat,35000.0,150000.0,2009.0,Sousse,Berline,Diesel,6.0,Manuelle,Gris,
1205,Audi,A4,28000.0,180000.0,2011.0,Ariana,Berline,Essence,7.0,Automatique,Autre,
1206,Mercedes Benz,Classe E,125000.0,169000.0,2017.0,Sousse,Berline,Essence,9.0,Automatique,Noir,
1207,Renault,Megane,19500.0,200000.0,2005.0,Sfax,Autres,Essence,6.0,Manuelle,Noir,
1208,Skoda,Fabia,28500.0,140000.0,2018.0,Tunis,Berline,Essence,4.0,Manuelle,Blanc,
1209,Volkswagen,Golf 8,103000.0,14000.0,2020.0,Sousse,Citadine,Essence,6.0,Manuelle,Blanc,
1210,Volkswagen,Golf 6,,195000.0,2012.0,Tunis,Compacte,Essence,5.0,Manuelle,Blanc,
1211,Mg,Zs,69000.0,29200.0,2021.0,Monastir,4 X 4,Essence,7.0,Manuelle,Blanc,
1212,Fiat,Punto Evo,25700.0,179000.0,2011.0,Sfax,Citadine,Essence,4.0,Manuelle,Blanc,
1213,Porsche,911,590000.0,59000.0,2017.0,Tunis,Cabriolet,Essence,26.0,Automatique,Noir,
1214,Ds,3,43500.0,65000.0,2017.0,Ariana,Citadine,Essence,5.0,Manuelle,Vert,
1215,Land Rover,Range Rover Evoque,157500.0,38000.0,2015.0,Ben Arous,4 X 4,Diesel,8.0,Automatique,Blanc,
1216,Peugeot,301,17000.0,185000.0,2013.0,Ben Arous,Berline,Essence,5.0,Manuelle,Blanc,
1217,Bmw,Serie 1 5P,49500.0,99000.0,2012.0,Ben Arous,Coupé,Essence,7.0,Manuelle,Noir,
1218,Audi,A3,43500.0,172000.0,2012.0,Ben Arous,Coupé,Essence,6.0,Manuelle,Blanc,
1219,Mazda,Cx 9,38000.0,290000.0,2012.0,Sousse,4 X 4,Essence,20.0,Automatique,Noir,
1220,Volkswagen,Caddy,19000.0,420000.0,2011.0,Sfax,Utilitaire,Diesel,5.0,Manuelle,Gris,
1221,Citroen,C6,,139000.0,2009.0,Tunis,Berline,Diesel,10.0,Manuelle,Gris,
1222,Peugeot,301,24500.0,147000.0,2013.0,Tunis,Berline,Essence,5.0,Manuelle,Blanc,
1223,Bmw,Serie 5,57000.0,160000.0,2007.0,Tunis,Berline,Essence,10.0,Automatique,Noir,
1224,Mercedes Benz,Glc,195000.0,80000.0,2017.0,Tunis,4 X 4,Essence,12.0,Automatique,Noir,
1225,Opel,Astra,28000.0,190000.0,2012.0,Nabeul,Citadine,Diesel,5.0,Manuelle,Gris,
1226,Volkswagen,Golf 7,69000.0,80000.0,2016.0,Ben Arous,Berline,Essence,6.0,Manuelle,Blanc,
1227,Dacia,Duster,,22000.0,2021.0,Ariana,4 X 4,Essence,7.0,Automatique,Blanc,
1228,Mercedes Benz,Classe C,175000.0,56000.0,2019.0,Sousse,Berline,Diesel,9.0,Automatique,Noir,
1229,Mercedes Benz,Classe E,37000.0,218000.0,2005.0,Sfax,Berline,Essence,10.0,Automatique,Noir,
1230,Kia,Sportage,109000.0,17500.0,2019.0,Nabeul,4 X 4,Essence,8.0,Automatique,Gris,
1231,Ford,Fiesta,32700.0,61000.0,2016.0,Ariana,Citadine,Essence,5.0,Manuelle,Blanc,
1232,Peugeot,Bipper,18600.0,537000.0,2013.0,Ben Arous,Utilitaire,Diesel,6.0,Manuelle,Gris,
1233,Mercedes Benz,Classe E,80000.0,137000.0,2009.0,Sfax,Berline,Diesel,11.0,Automatique,Blanc,
1234,Volkswagen,Golf 7,62000.0,170000.0,2016.0,Ariana,Berline,Diesel,5.0,Manuelle,Noir,
1235,Mercedes Benz,Cla,,155000.0,2015.0,Ariana,Citadine,Essence,8.0,Automatique,Noir,
1236,Mercedes Benz,Classe C,119000.0,170000.0,2015.0,Sfax,Berline,Diesel,7.0,Automatique,Bleu,
1237,Audi,Q3,185000.0,58000.0,2021.0,Tunis,4 X 4,Essence,9.0,Automatique,Gris,
1238,Kia,Sportage,49000.0,270000.0,2012.0,Tunis,Autres,Diesel,11.0,Automatique,Gris,
1239,Alfa Romeo,Giulietta,39000.0,122000.0,2015.0,Tunis,Compacte,Essence,7.0,Manuelle,Blanc,
1240,Seat,Leon,70000.0,53000.0,2019.0,Ariana,Citadine,Essence,6.0,Manuelle,Noir,
1241,Mercedes Benz,Classe A,115500.0,31500.0,2020.0,Gabes,Berline,Essence,7.0,Automatique,Noir,
1242,Alfa Romeo,Mito,29000.0,142900.0,2011.0,Ariana,Coupé,Essence,5.0,Manuelle,Rouge,
1243,Peugeot,208,35000.0,90500.0,2017.0,Monastir,Berline,Essence,5.0,Manuelle,Gris,
1244,Citroen,C3,28000.0,83000.0,2016.0,Monastir,Berline,Essence,4.0,Manuelle,Gris,
1245,Volkswagen,Golf 7,76000.0,169000.0,2015.0,Médenine,Coupé,Diesel,5.0,Manuelle,Rouge,
1246,Peugeot,Boxer,,18000.0,2021.0,Tunis,Utilitaire,Diesel,7.0,Manuelle,Blanc,
1247,Seat,Leon,67000.0,68000.0,2020.0,Tunis,Compacte,Essence,6.0,Manuelle,Blanc,
1248,Chevrolet,Aveo,26500.0,145800.0,2016.0,Jendouba,Berline,Essence,5.0,Manuelle,Noir,
1249,Ford,Ranger,,100000.0,2016.0,Sousse,Pick Up,Diesel,11.0,Manuelle,Noir,
1250,Nissan,Micra,32000.0,44000.0,2016.0,Ben Arous,Compacte,Essence,4.0,Manuelle,Gris,
1251,Fiat,Panda,46000.0,15000.0,2020.0,Nabeul,Compacte,Essence,4.0,Manuelle,Rouge,
1252,Nissan,Juke,56000.0,113000.0,2015.0,Ariana,Compacte,Essence,6.0,Manuelle,Blanc,
1253,Chery,Tiggo 2,49000.0,5000.0,2021.0,Tunis,Berline,Essence,6.0,Manuelle,Rouge,
1254,Volkswagen,Polo,15000.0,270000.0,1998.0,Sousse,Citadine,Essence,5.0,Manuelle,Bleu,
1255,Ford,Focus,39800.0,147600.0,2017.0,Ariana,Compacte,Essence,7.0,Automatique,Bleu,
1256,Chevrolet,Spark,19300.0,210000.0,2016.0,Ariana,Compacte,Essence,5.0,Manuelle,Blanc,
1257,Bmw,Serie 3,120000.0,213000.0,2013.0,Ariana,Berline,Essence,7.0,Automatique,Blanc,
1258,Mercedes Benz,300,57000.0,190000.0,2013.0,Tunis,Utilitaire,Essence,15.0,Automatique,Noir,
1259,Mg,Zs,68500.0,78000.0,2019.0,Ben Arous,Autres,Essence,7.0,Automatique,Noir,
1260,Audi,A3 Berline,56500.0,120000.0,2016.0,Ben Arous,Berline,Essence,6.0,Manuelle,Noir,
1261,Bmw,X1,53000.0,220000.0,2011.0,Tunis,4 X 4,Essence,8.0,Automatique,Blanc,
1262,Bmw,Serie 5,80000.0,260000.0,2012.0,Sousse,Berline,Essence,10.0,Automatique,Noir,
1263,Mg,Zs,,7000.0,2022.0,Tunis,Autres,Essence,7.0,Automatique,Gris,
1264,Volkswagen,Jetta,28500.0,219000.0,2020.0,Ben Arous,Berline,Essence,7.0,Manuelle,Gris,
1265,Geely,Gx3,,30000.0,2021.0,Ariana,Citadine,Essence,6.0,Manuelle,Rouge,
1266,Citroen,C5,35000.0,211300.0,2010.0,Ariana,Berline,Diesel,6.0,Automatique,Gris,
1267,Peugeot,Partner,47000.0,100000.0,2019.0,Tunis,Utilitaire,Diesel,7.0,Automatique,Blanc,
1268,Mercedes Benz,Classe X,185000.0,130000.0,2018.0,Nabeul,4 X 4,Diesel,8.0,Automatique,Noir,
1269,Nissan,X Trail,,140000.0,2015.0,Nabeul,4 X 4,Diesel,7.0,Automatique,Noir,
1270,Kia,Picanto,,217000.0,2009.0,Ben Arous,Autres,Essence,4.0,Manuelle,Beige,
1271,Tata,Xenon Dc,32000.0,210000.0,2017.0,Monastir,Pick Up,Diesel,7.0,Manuelle,Gris,
1272,Renault,Megane,29000.0,195000.0,2010.0,Ariana,Citadine,Diesel,6.0,Manuelle,Gris,
1273,Mg,Zs,61000.0,98000.0,2019.0,Ben Arous,4 X 4,Essence,7.0,Manuelle,Noir,
1274,Fiat,Palio,17000.0,250000.0,2007.0,Ben Arous,Compacte,Essence,4.0,Manuelle,Gris,
1275,Chevrolet,Cruze,39000.0,130000.0,2018.0,Tunis,Citadine,Essence,7.0,Manuelle,Noir,
1276,Bmw,Serie 3 Coupe,34000.0,244000.0,2001.0,Tunis,Coupé,Essence,9.0,Automatique,Gris,
1277,Suzuki,Vitara,,70000.0,2018.0,Tunis,4 X 4,Essence,6.0,Manuelle,Gris,
1278,Mercedes Benz,Classe A,65000.0,200000.0,2013.0,Ben Arous,Autres,Essence,6.0,Automatique,Noir,
1279,Honda,Cr V,140000.0,50800.0,2021.0,Sousse,4 X 4,Essence,11.0,Automatique,Blanc,
1280,Peugeot,106,12500.0,287990.0,2005.0,Sousse,Autres,Essence,4.0,Manuelle,Rouge,
1281,Fiat,Doblo,22000.0,172000.0,2016.0,Ariana,Autres,Diesel,5.0,Manuelle,Blanc,
1282,Seat,Leon,88900.0,80000.0,2019.0,Ben Arous,Coupé,Essence,6.0,Automatique,Blanc,
1283,Fiat,Doblo Combi,23500.0,67000.0,2015.0,Tunis,Utilitaire,Diesel,5.0,Manuelle,Blanc,
1284,Bmw,X1,118000.0,88000.0,2017.0,Tunis,4 X 4,Essence,7.0,Automatique,Blanc,
1285,Peugeot,Landtrek Double Cabine,73000.0,17000.0,2022.0,Sfax,4 X 4,Diesel,8.0,Manuelle,Gris,
1286,Kia,Sportage,95000.0,72000.0,2019.0,Tunis,Compacte,Diesel,7.0,Manuelle,Gris,
1287,Bmw,Serie 5,128000.0,90000.0,2017.0,Tunis,Berline,Essence,9.0,Automatique,Bleu,
1288,Mercedes Benz,Classe C,112000.0,100000.0,2018.0,Tunis,Berline,Diesel,6.0,Automatique,Noir,
1289,Hyundai,Creta,85000.0,23700.0,2020.0,Tunis,Berline,Essence,7.0,Automatique,Gris,
1290,Peugeot,301,16000.0,168000.0,2016.0,Tunis,Berline,Essence,5.0,Manuelle,Gris,
1291,Mercedes Benz,Classe C,57000.0,194000.0,2009.0,Tunis,Berline,Essence,9.0,Automatique,Blanc,
1292,Volkswagen,Tiguan,130000.0,86000.0,2020.0,Zaghouan,Autres,Essence,8.0,Automatique,Blanc,
1293,Renault,Clio,46000.0,47000.0,2019.0,Tunis,Citadine,Essence,4.0,Manuelle,Noir,
1294,Bmw,Serie 4 Gran Coupe,120000.0,86000.0,2017.0,Tunis,Coupé,Essence,7.0,Automatique,Noir,
1295,Seat,Leon,,39000.0,2021.0,Ben Arous,Compacte,Essence,6.0,Automatique,Rouge,
1296,Hyundai,Grand I10 Sedan,32500.0,72000.0,2020.0,Bizerte,Berline,Essence,5.0,Manuelle,Blanc,
1297,Volkswagen,Golf 7,84000.0,70000.0,2017.0,Tunis,Citadine,Essence,6.0,Manuelle,Noir,
1298,Volkswagen,Golf 7,75000.0,70000.0,2017.0,Tunis,Citadine,Essence,6.0,Manuelle,Blanc,
1299,Seat,Leon,49700.0,115000.0,2018.0,Tunis,Coupé,Essence,6.0,Manuelle,Blanc,
1300,Volkswagen,Golf 7,72000.0,70000.0,2018.0,Tunis,Berline,Essence,6.0,Automatique,Gris,
1301,Jeep,Compass,118000.0,45000.0,2021.0,Ben Arous,Autres,Essence,8.0,Manuelle,Noir,
1302,Renault,Megane,17000.0,300000.0,2007.0,Nabeul,Autres,Essence,6.0,Manuelle,Noir,
1303,Peugeot,308,,87000.0,2009.0,Sousse,Berline,Essence,6.0,Automatique,Bleu,
1304,Audi,Q3,90000.0,97800.0,2013.0,Sfax,4 X 4,Diesel,8.0,Automatique,Noir,
1305,Nissan,Navara,47500.0,160000.0,2011.0,Ben Arous,4 X 4,Diesel,10.0,Manuelle,Noir,
1306,Nissan,Juke,40000.0,98000.0,2013.0,Tunis,Berline,Essence,7.0,Automatique,Blanc,
1307,Kia,Sportage,73000.0,140000.0,2016.0,Sousse,4 X 4,Essence,8.0,Automatique,Noir,
1308,Mini,John Cooper Works,85000.0,82700.0,2015.0,Ariana,Coupé,Essence,12.0,Manuelle,Gris,
