,brand,model,price,mileage,year,location,body_type,fuel,power,transmission,color,engine_size
68,Seat,Leon,56000.0,138000.0,2017.0,Ben Arous,Coupé,Essence,6.0,Manuelle,Blanc,
69,Mazda,3,58500.0,86000.0,2019.0,Ben Arous,Coupé,Essence,6.0,Manuelle,Bleu,
70,Volkswagen,Jetta,29500.0,225000.0,2010.0,Nabeul,Berline,Diesel,6.0,Manuelle,Noir,
71,Cupra,Formentor,199100.0,11000.0,2022.0,Tunis,Pick Up,Essence,11.0,Automatique,Autre,
72,Mercedes Benz,Classe C,,47000.0,2019.0,Tunis,Berline,Essence,9.0,Automatique,Noir,
73,Porsche,Macan,309000.0,79900.0,2018.0,Tunis,4 X 4,Essence,23.0,Automatique,Bleu,
74,Bmw,Serie 4 Gran Coupe,160000.0,90000.0,2019.0,Tunis,Berline,Essence,7.0,Automatique,Bleu,
75,Mercedes Benz,Classe C,196300.0,119000.0,2019.0,Tunis,Berline,Essence,8.0,Automatique,Noir,
76,Porsche,Cayenne,165000.0,198000.0,2012.0,Tunis,4 X 4,Essence,21.0,Automatique,Blanc,
77,Nissan,Qashqai,71000.0,104000.0,2016.0,Sidi Bouzid,Compacte,Diesel,6.0,Manuelle,Blanc,
78,Audi,Q2,92900.0,110000.0,2018.0,Ben Arous,Autres,Essence,6.0,Automatique,Blanc,
79,Mercedes Benz,Classe C,225000.0,7000.0,2022.0,Sousse,Berline,Hybride,9.0,Automatique,Noir,
80,Mercedes Benz,Classe C,65500.0,190000.0,2012.0,Tunis,Berline,Essence,9.0,Automatique,Noir,
81,Bmw,Serie 7,120000.0,158000.0,2010.0,Tunis,Compacte,Essence,31.0,Automatique,Noir,
82,Volkswagen,Tiguan,93000.0,100000.0,2017.0,Tunis,Citadine,Essence,8.0,Automatique,Blanc,
83,Ford,Fusion,,96000.0,2016.0,Tunis,Berline,Essence,9.0,Manuelle,Blanc,
84,Haval,H6,,125000.0,2018.0,Ariana,4 X 4,Essence,9.0,Automatique,Noir,
85,Volkswagen,Golf 8,98000.0,50000.0,2020.0,Ariana,Berline,Essence,6.0,Manuelle,Noir,
86,Ford,Ecosport,62000.0,62000.0,2018.0,Ariana,Autres,Essence,7.0,Manuelle,Noir,
87,Ford,Focus,,220000.0,2017.0,Tunis,Citadine,Essence,7.0,Automatique,Blanc,
88,Citroen,C3,34900.0,75000.0,2017.0,Tunis,Compacte,Essence,5.0,Manuelle,Orange,
89,Audi,A5 Coupe,49000.0,180000.0,2010.0,Tunis,Coupé,Essence,9.0,Manuelle,Noir,
90,Hyundai,Staria,256900.0,,2022.0,Tunis,Compacte,Diesel,8.0,Manuelle,Noir,
91,Mercedes Benz,Viano,165000.0,46000.0,2014.0,Tunis,Monospace,Diesel,10.0,Automatique,Noir,
92,Mercedes Benz,Classe C,62000.0,189000.0,2013.0,Tunis,Berline,Essence,9.0,Manuelle,Noir,
93,Fiat,Doblo,49000.0,18000.0,2021.0,Tunis,Utilitaire,Diesel,5.0,Manuelle,Gris,
94,Haval,H2,66000.0,80000.0,2017.0,Tunis,Citadine,Essence,7.0,Automatique,Blanc,
95,Porsche,Cayenne,295000.0,70000.0,2016.0,Tunis,Compacte,Essence,20.0,Automatique,Noir,
96,Ssangyong,Rexton,79000.0,200000.0,2010.0,Ariana,4 X 4,Diesel,10.0,Automatique,Blanc,
97,Haval,Jolion,93000.0,20000.0,2022.0,Tunis,4 X 4,Essence,9.0,Automatique,Blanc,
98,Land Rover,Discovery,,90000.0,2017.0,Tunis,Compacte,Diesel,8.0,Automatique,Noir,
99,Bmw,Serie 5,195000.0,40000.0,2018.0,Tunis,Compacte,Essence,10.0,Automatique,Noir,
100,Volkswagen,Golf 7,55000.0,160000.0,2013.0,Tunis,Compacte,Essence,5.0,Automatique,Blanc,
101,Mercedes Benz,Classe C,66000.0,170000.0,2012.0,Tunis,Berline,Essence,9.0,Automatique,Noir,
102,Citroen,C3,43000.0,70000.0,2018.0,Tunis,Citadine,Essence,4.0,Manuelle,Blanc,
103,Peugeot,2008,70000.0,4000.0,2020.0,Tunis,Autres,Essence,7.0,Manuelle,Gris,
104,Renault,Symbol,26000.0,127000.0,2009.0,Tunis,Berline,Essence,5.0,Manuelle,Beige,
105,Volkswagen,Passat Cc,,150000.0,2012.0,Tunis,Berline,Diesel,8.0,Manuelle,Gris,
106,Land Rover,Discovery Sport,205000.0,25000.0,2016.0,Tunis,4 X 4,Essence,15.0,Automatique,Blanc,
107,Mercedes Benz,Classe C,98000.0,95000.0,2015.0,Tunis,Berline,Diesel,6.0,Manuelle,Gris,
108,Bmw,Serie 4 Gran Coupe,118000.0,115000.0,2016.0,Tunis,Citadine,Essence,7.0,Automatique,Noir,
109,Volkswagen,T Roc,119000.0,21000.0,2021.0,Tunis,Autres,Essence,6.0,Manuelle,Blanc,
110,Chery,Tiggo 3,49000.0,50000.0,2018.0,Tunis,Compacte,Essence,6.0,Manuelle,Blanc,
111,Mercedes Benz,Classe S,78000.0,149000.0,2006.0,Tunis,Berline,Essence,19.0,Automatique,Gris,
112,Jaguar,E Pace,275000.0,30000.0,2021.0,Tunis,Compacte,Essence,12.0,Automatique,Gris,
113,Land Rover,Range Rover Evoque,250000.0,38000.0,2019.0,Tunis,4 X 4,Hybride,8.0,Automatique,Gris,
114,Volkswagen,Golf 7,65000.0,79000.0,2015.0,Tunis,Compacte,Essence,6.0,Manuelle,Rouge,
115,Citroen,Ds3,,89000.0,2013.0,Tunis,Citadine,Essence,5.0,Manuelle,Rouge,
116,Kia,Sportage,100000.0,59000.0,2020.0,Tunis,4 X 4,Diesel,6.0,Manuelle,Bleu,
117,Mercedes Benz,Classe A,46000.0,350000.0,2013.0,Tunis,Citadine,Diesel,5.0,Manuelle,Gris,
118,Infiniti,Qx56,55000.0,126000.0,2006.0,Tunis,4 X 4,Essence,31.0,Automatique,Gris,
119,Mercedes Benz,Classe A,46000.0,350000.0,2013.0,Tunis,Citadine,Diesel,5.0,Manuelle,Gris,
120,Volkswagen,Polo Sedan,,36000.0,2020.0,Tunis,Berline,Essence,5.0,Manuelle,Noir,
121,Bmw,Serie 5,97000.0,155000.0,2015.0,Tunis,Berline,Essence,9.0,Automatique,Noir,
122,Jaguar,F Pace,450000.0,28000.0,2018.0,Tunis,4 X 4,Essence,24.0,Automatique,Blanc,
123,Mg,Hs,119000.0,6000.0,2022.0,Tunis,Compacte,Essence,9.0,Automatique,Noir,
124,Mg,Hs,120000.0,12000.0,2021.0,Tunis,4 X 4,Essence,15.0,Automatique,Noir,
125,Mercedes Benz,Classe E,85000.0,124000.0,2011.0,Tunis,Citadine,Essence,11.0,Automatique,Noir,
126,Kia,Seltos,105000.0,40000.0,2021.0,Tunis,4 X 4,Essence,8.0,Automatique,Gris,
127,Kia,Rio 5P,64500.0,29000.0,2022.0,Tunis,Citadine,Essence,5.0,Manuelle,Bleu,
128,Bmw,Serie 4 Gran Coupe,170000.0,100000.0,2020.0,Tunis,Berline,Essence,7.0,Manuelle,Bleu,
129,Wallyscar,Iris,29000.0,94000.0,2017.0,Tunis,Compacte,Essence,4.0,Manuelle,Noir,
130,Seat,Leon,73000.0,50000.0,2019.0,Tunis,Citadine,Essence,5.0,Manuelle,Noir,
131,Nissan,Patrol,55000.0,340000.0,2006.0,Tunis,4 X 4,Diesel,12.0,Manuelle,Gris,
132,Mercedes Benz,Ml,147000.0,137000.0,2014.0,Tunis,4 X 4,Essence,15.0,Automatique,Blanc,
